toi,tid,tfopwg_disp,ra,dec,pl_rade,pl_orbper,pl_trandurh,pl_trandep,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,in_habitable_zone,is_planet,planet_size_category_Earth-sized,planet_size_category_Jupiter-sized,planet_size_category_Neptune-sized,planet_size_category_Super-Earth,star_temp_category_G-dwarf,star_temp_category_Hot-star,star_temp_category_K-dwarf,star_temp_category_M-dwarf
1000.01,50365310,FP,112.357708,-12.69596,5.8181633,2.1713484,2.0172196,656.8860989,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986,2019-07-24 15:58:33,2024-09-09 10:08:01,0,0,False,False,True,False,False,True,False,False
1001.01,88863718,PC,122.580465,-5.513852,11.2154,1.9316462,3.166,1286.0,44464.5,4045.0,9.42344,295.862,7070.0,4.03,2.01,2019-07-24 15:58:33,2023-04-03 14:31:04,0,1,False,True,False,False,False,True,False,False
1002.01,124709665,FP,104.726966,-10.580455,23.7529,1.8675574,1.408,1500.0,2860.61,2037.0,9.299501,943.109,8924.0,4.33,5.73,2019-07-24 15:58:33,2022-07-11 16:02:02,0,0,False,True,False,False,False,True,False,False
1003.01,106997505,FP,110.559945,-25.207017,10.5468,2.74323,3.167,383.41,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,1.23434,2019-07-24 15:58:33,2022-02-23 10:10:02,0,0,False,True,False,False,False,False,True,False
1004.01,238597883,FP,122.178195,-48.802811,11.3113,3.5730141,3.37,755.0,54679.3,4260.0,9.1355,356.437,9219.0,4.14,2.15,2019-07-24 15:58:33,2024-09-09 10:08:01,0,0,False,True,False,False,False,True,False,False
1005.01,169904935,FP,120.704811,-11.101521,7.10841,4.5505945,2.654,3731.0,414.775,1257.0,9.1309,100.711,5613.0,4.33,1.09,2019-07-24 15:58:33,2025-07-08 10:08:01,0,0,False,False,True,False,True,False,False,False
1006.01,156115721,FP,124.359239,-27.273521,8.6950898,2.5047918,4.3797563,2270.5402194,1750.932635,1649.8220699,9.2386,365.00800000000004,6616.0,4.33,1.53429,2019-07-24 15:58:33,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
1007.01,65212867,PC,112.752393,-4.463359,14.7752,6.9989206,3.953,2840.0,448.744,1282.0,8.87759,283.291,6596.0,3.71,2.7,2019-07-24 15:58:33,2021-10-29 12:59:15,0,1,False,True,False,False,False,True,False,False
1008.01,440801822,FP,109.382839,13.395219,3.19621,2.0483755,2.767,483.0,5644.4,1183.01373235,8.9362,144.297,6858.5,4.2,1.57,2019-07-24 15:58:33,2023-12-08 16:02:02,0,0,False,False,False,True,False,True,False,False
1009.01,107782586,PC,111.667845,-24.462111,10.5468,1.9600277,2.0065257,1707.6272693,1063.3422958,1456.4246534,8.4331,866.147,8868.7,4.33,1.23434,2019-07-24 15:58:33,2024-01-17 10:08:02,0,1,False,True,False,False,False,True,False,False
101.01,231663901,KP,318.737012,-55.871863,13.1874503,1.4303699,1.6165994,18960.7122944,1281.2408254,1525.9048089,12.4069,375.31,5600.0,4.48851,0.890774,2018-09-05 18:49:20,2024-09-06 10:08:02,0,1,False,True,False,False,True,False,False,False
1010.01,139853601,FP,112.293981,-21.832912,5.9115908,0.6808702,2.4634563,1507.8006889,87140.6995884,4382.0266062,8.45086,485.122,9438.0,4.33,1.0,2019-07-24 15:58:33,2021-10-29 12:59:15,0,0,False,False,True,False,False,True,False,False
1011.01,114018671,PC,113.984761,-32.841999,1.44656,2.4704981,2.191,250.0,575.597,1364.0,8.2388,52.62,5413.7,4.46,0.94,2019-07-24 15:58:33,2023-03-22 16:02:02,0,1,True,False,False,False,False,False,True,False
1013.01,97700520,FP,107.286063,-31.933523,10.5468,5.4255548,3.9637474,14939.6342222,273.5880696,1037.2753045,7.6095,510.295,8868.7,4.33,1.23434,2019-07-24 15:58:33,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
1014.01,96246348,FP,103.561602,-34.22282,10.5468,1.4095184,0.9484999,2841.5103258,1650.422071,1625.6180218,7.678,224.672,9307.0,4.33,1.23434,2019-07-24 15:58:33,2023-11-20 10:08:02,0,0,False,True,False,False,False,True,False,False
1015.01,155044736,FP,122.895964,-27.971896,42.1479417,1.3730466,2.5708515,1301.5065338,3160.6328329,1912.3318636,10.7069,906.496,4897.0,4.33,6.7996101,2019-04-01 16:51:56,2023-12-20 16:02:19,0,0,False,True,False,False,False,False,True,False
1016.01,175310067,FP,116.110771,-36.098285,14.0608342,12.6889415,7.9201001,3232.8527885,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641,2019-04-01 16:52:03,2024-09-09 10:08:01,0,0,False,True,False,False,False,True,False,False
1017.01,182943944,FP,124.726411,-37.78325,21.0448,1.10422,2.37,14177.7,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61,2019-07-24 17:08:12,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
1018.01,291555748,FP,111.716019,-50.266567,22.9123,4.95912,2.509,7440.0,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0,2019-04-01 16:52:01,2021-10-29 12:59:15,0,0,False,True,False,False,True,False,False,False
1019.01,341420329,PC,120.147994,-54.878552,24.2931408,5.2341008,3.7078139,20796.9416293,1453.6663847,1574.8381848,10.6348,399.544,7645.0,4.3,1.56203,2019-07-24 17:08:12,2024-02-16 10:08:02,0,1,False,True,False,False,False,True,False,False
102.01,149603524,KP,87.139821,-63.988329,15.4706,4.4119378,3.65,15062.0,653.252,1408.0,9.7109,175.631,6280.0,4.32092,1.21,2019-05-07 17:42:37,2024-10-03 10:08:02,0,1,False,True,False,False,True,False,False,False
1020.01,140706664,FP,128.381976,-43.828421,10.5468,3.28892,3.793,10518.9,29832.6,3661.0,10.7173,906.827,8734.2,4.1,1.23434,2019-07-24 17:08:12,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
1021.01,143994283,FP,119.30075,-42.999149,3.34688,1.90879,1.909,618.482,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22,2019-07-24 17:08:12,2021-10-29 12:59:15,0,0,False,False,False,True,True,False,False,False
1022.01,47384844,FA,162.96491,-5.788708,3.4262,3.09574,4.475,380.0,18087.9,3230.0,8.72924,120.666,6084.0,4.13,1.41,2019-06-04 14:32:44,2023-06-06 12:02:56,0,0,False,False,False,True,True,False,False,False
1023.01,238374636,FP,120.837688,-51.345626,21.8839,1.3214483,3.435,2180.0,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99,2019-07-24 18:44:12,2021-12-07 16:02:02,0,0,False,True,False,False,False,False,True,False
1024.01,141482386,FP,86.820714,-72.422611,21.644,18.0157,2.524,610.0,7.64364,463.0,10.0814,692.266,4709.0,4.33,7.61,2019-07-24 18:44:12,2021-10-29 12:59:15,0,0,False,True,False,False,False,False,True,False
1025.01,297967252,PC,142.521159,-51.517114,10.5468,9.6837921,2.4006056,4238.2399008,3176.3106916,1914.698926,5.5324,129.838,8598.7,4.33,1.23434,2019-07-24 18:44:12,2024-09-15 12:02:47,0,1,False,True,False,False,False,True,False,False
1026.01,388624270,FP,125.434634,-51.759442,2.4765813,14.2628757,6.9350494,913.2067174,153.2069421,980.3628831,9.9138,105.677,5690.0,4.58,0.853898,2019-06-11 14:45:00,2025-09-02 16:00:02,0,0,False,False,False,True,True,False,False,False
1027.01,20318757,PC,167.133275,-29.653135,2.87648,3.2834565,1.537,1558.0,161.092,992.0,10.2103,56.3449,4272.0,4.6,0.68,2019-07-24 18:44:12,2023-06-05 12:03:22,0,1,False,False,False,True,False,False,True,False
1027.02,20318757,PC,167.133275,-29.653135,2.76586,11.02875,2.715,1694.0,15.0463,548.0,10.2103,56.3449,4272.0,4.6,0.68,2021-06-03 22:37:59,2024-09-01 12:02:56,0,1,False,False,False,True,False,False,True,False
1027.03,20318757,PC,167.133275,-29.653135,2.52314,5.0113292,1.024,1210.0,17.1793,567.0,10.2103,56.3449,4272.0,4.6,0.68,2023-05-18 23:08:27,2023-06-05 12:03:22,0,1,False,False,False,True,False,False,True,False
1028.01,447283466,FP,157.098337,-51.705409,1.20704,1.01606,2.843,240.0,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68,2019-07-24 18:44:12,2021-10-29 12:59:15,0,0,True,False,False,False,False,False,True,False
1029.01,374908020,FP,88.73909,-65.958839,10.5468,36.22214,5.107,7170.0,363.901,1183.01373235,6.841,365.00800000000004,5800.55,4.33,1.23434,2019-06-11 14:45:03,2021-12-07 16:02:02,0,0,False,True,False,False,True,False,False,False
103.01,336732616,KP,312.457488,-24.428694,14.581841,3.547854,3.494333,10424.3718,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4,2018-09-05 18:49:20,2024-09-07 10:08:02,0,1,False,True,False,False,True,False,False,False
1030.01,464296022,FP,155.831478,-57.590248,17.6729,12.1246519,4.612,7279.0,207.32,1057.0,9.5706,78.41273,4807.6,4.17,1.07,2019-07-24 18:44:12,2023-05-31 10:10:01,0,0,False,True,False,False,False,False,True,False
1031.01,304021498,FP,140.88389,-67.026006,8.94354,5.652623,3.434,1250.0,2717.06,2011.0,9.7318,270.771,6415.4,3.98,1.92,2019-06-25 15:58:39,2024-09-19 10:08:01,0,0,False,True,False,False,True,False,False,False
1032.01,146589986,PC,159.221506,-42.541639,14.7738943,5.6643704,3.8087395,3491.8232968,7657.6621505,2385.8536488,9.7611,587.196,10395.0,4.13,2.3383701,2019-07-24 18:44:12,2024-01-17 10:08:02,0,1,False,True,False,False,False,True,False,False
1033.01,149601557,FP,87.282586,-60.498444,6.77406,29.0160175,5.345,1389.0,33.2234,1183.01373235,10.0163,219.94,6113.1,4.33,2.01,2019-06-11 14:45:00,2025-06-03 16:00:01,0,0,False,False,True,False,True,False,False,False
1034.01,400595342,FP,134.441752,-49.000578,3.7025342,3.6404389,2.5339234,476.3077321,9941.2265514,2783.098027,9.8174,363.44,9810.0,4.43,1.60776,2019-07-24 18:44:12,2025-09-05 10:08:01,0,0,False,False,False,True,False,True,False,False
1035.01,361413119,PC,144.150273,-61.583182,30.9493217,6.0744477,2.4954821,5982.5212406,1487.5644344,1583.9398898,10.1126,347.556,5964.0,3.7,2.4303801,2019-07-24 18:44:12,2025-07-09 16:00:02,0,1,False,True,False,False,True,False,False,False
1036.01,146172354,PC,157.867112,-42.240448,5.98375,3.7795212,2.952,2761.0,466.528,1294.0,10.2855,184.015,5771.0,4.31,1.18,2019-07-24 18:44:12,2023-05-05 16:02:01,0,1,False,False,True,False,True,False,False,False
1038.01,90544017,FP,128.454638,-49.940347,5.51341,3.2235985,2.159,680.0,2064.8,1183.01373235,8.7157,280.765,8904.0,4.09,2.17,2019-07-24 18:44:12,2021-10-29 12:59:15,0,0,False,False,True,False,False,True,False,False
1039.01,461867584,APC,149.688545,-58.760453,10.5468,4.420125,3.956,2466.0,363.901,1183.01373235,8.5483,2864.34,5800.55,4.33,1.23434,2019-07-24 18:44:12,2023-05-05 16:02:01,0,0,False,True,False,False,True,False,False,False
104.01,231670397,KP,319.949697,-58.148933,13.6237732,4.0872956,5.586113,3572.1712499,2242.3605401,1755.0767383,9.8638,316.678,6036.0,3.93359,2.2186699,2018-09-05 18:49:20,2023-10-16 16:02:02,0,1,False,True,False,False,True,False,False,False
1040.01,310483807,FP,128.61421,-61.488262,11.5901,2.55555,1.566,340.0,3520.68,2145.0,8.3854,732.432,10037.0,4.33,6.04,2019-07-24 18:44:12,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
1041.01,385624852,FP,138.402252,-55.19791,43.1068,8.30792,3.228,8350.0,2276.25,1924.0,8.0981,305.034,9081.0,3.83,3.05,2019-07-24 18:44:12,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
1043.01,90448944,FP,128.302319,-52.714202,3.61078,1.4415577,2.349,507.0,16861.8,3174.0,9.5719,208.055,6902.0,4.25,1.52,2019-07-24 18:44:12,2024-09-09 10:08:01,0,0,False,False,False,True,False,True,False,False
1044.01,463402815,PC,153.811023,-58.766393,10.5468,1.0085089,1.642,3051.0,363.901,1183.01373235,10.0031,494.689,5215.2,4.33,1.23434,2019-07-24 18:44:12,2023-05-11 16:02:02,0,1,False,True,False,False,False,False,True,False
1045.01,54044474,FP,159.887704,-32.51188,17.57,3.7039994,4.277,7590.0,3546.13,2149.0,9.6306,300.696,7013.8,4.21,1.9,2019-07-24 18:44:12,2021-12-07 16:02:02,0,0,False,True,False,False,False,True,False,False
